Brand,Car Age,Price,Body,Mileage,EngineV,Engine Type,Model
BMW,28,4200.0,sedan,277,2.0,Petrol,320
Mercedes-Benz,20,7900.0,van,427,2.9,Diesel,Sprinter 212
Mercedes-Benz,16,13300.0,sedan,358,5.0,Gas,S 500
Audi,12,23000.0,crossover,240,4.2,Petrol,Q7
Toyota,8,18300.0,crossover,120,2.0,Petrol,Rav 4
Audi,13,14200.0,vagon,200,2.7,Diesel,A6
Renault,7,10799.0,vagon,193,1.5,Diesel,Megane
Volkswagen,20,1400.0,other,212,1.8,Gas,Golf IV
Renault,8,11950.0,vagon,177,1.5,Diesel,Megane
Renault,25,2500.0,sedan,260,1.79,Petrol,19
Audi,16,9500.0,vagon,165,2.7,Gas,A6 Allroad
Volkswagen,11,10500.0,sedan,100,1.8,Petrol,Passat B6
Toyota,18,16000.0,crossover,250,4.7,Gas,Land Cruiser 100
Renault,7,8600.0,hatch,84,1.5,Diesel,Clio
BMW,18,2990.0,other,203,2.0,Petrol,318
Toyota,6,26500.0,crossover,21,2.0,Petrol,Rav 4
Audi,21,3500.0,vagon,250,2.5,Diesel,A6
Toyota,3,38233.0,other,0,2.4,Diesel,Hilux
Volkswagen,13,7500.0,hatch,132,1.4,Diesel,Polo
Audi,21,6800.0,sedan,225,2.4,Gas,A6
Mitsubishi,13,10500.0,crossover,130,2.4,Gas,Outlander
Audi,11,24900.0,sedan,163,4.2,Diesel,A8
Volkswagen,11,20800.0,crossover,151,3.0,Diesel,Touareg
Audi,20,6500.0,sedan,330,2.4,Petrol,A6
Mercedes-Benz,8,13566.0,other,171,2.2,Other,Vito
Mitsubishi,9,8500.0,hatch,65,1.3,Petrol,Colt
Audi,30,2900.0,sedan,1,2.3,Gas,100
BMW,12,21500.0,other,72,3.0,Petrol,Z4
Mitsubishi,11,17900.0,crossover,87,3.8,Gas,Pajero Wagon
BMW,11,28500.0,crossover,160,4.8,Gas,X5
Volkswagen,10,9800.0,van,160,1.9,Diesel,Caddy
Toyota,13,14500.0,sedan,147,2.4,Gas,Camry
BMW,23,6000.0,sedan,300,2.8,Petrol,528
BMW,3,67500.0,crossover,1,2.5,Diesel,X5
Audi,5,33900.0,other,14,1.8,Petrol,TT
Mercedes-Benz,15,9800.0,van,230,2.15,Diesel,Vito
Mercedes-Benz,10,63000.0,crossover,86,5.5,Petrol,G 55 AMG
BMW,21,7700.0,sedan,326,2.8,Petrol,528
Mercedes-Benz,13,9600.0,van,30,2.2,Diesel,Vito
Toyota,11,12800.0,sedan,181,2.4,Petrol,Camry
BMW,7,41000.0,crossover,80,3.0,Petrol,X6
BMW,29,3700.0,sedan,231,2.5,Petrol,525
Mercedes-Benz,11,29500.0,sedan,134,5.0,Petrol,S 500
BMW,23,6500.0,sedan,335,2.8,Petrol,528
Renault,5,8250.0,van,66,1.5,Diesel,Kangoo
Mercedes-Benz,11,19500.0,crossover,172,3.5,Other,ML 350
Mercedes-Benz,18,13500.0,sedan,317,5.0,Petrol,S 500
Mercedes-Benz,11,9200.0,van,266,2.2,Diesel,Vito
Volkswagen,13,5000.0,vagon,265,2.0,Diesel,Passat B6
BMW,12,23900.0,crossover,162,4.8,Petrol,X5
BMW,9,36900.0,sedan,81,3.0,Diesel,730
BMW,24,8900.0,other,253,1.8,Petrol,318
Renault,17,7800.0,van,200,1.9,Diesel,Trafic
BMW,24,1650.0,sedan,270,1.8,Petrol,318
Mercedes-Benz,13,50000.0,sedan,240,3.5,Petrol,S 350
Renault,11,9700.0,van,245,2.0,Diesel,Trafic
Mercedes-Benz,14,9999.0,van,127,2.2,Diesel,Vito
Audi,4,69999.0,crossover,21,3.0,Petrol,A6 Allroad
Mitsubishi,12,6500.0,sedan,152,1.6,Petrol,Lancer
Audi,16,4300.0,sedan,267,1.9,Diesel,A6
Audi,20,3000.0,sedan,267,2.5,Diesel,A6
Mercedes-Benz,19,8700.0,sedan,240,2.2,Diesel,E-Class
Renault,11,9000.0,vagon,178,2.0,Petrol,Scenic
Mercedes-Benz,8,20400.0,sedan,190,1.8,Gas,E-Class
BMW,13,9000.0,sedan,175,3.0,Petrol,330
Mercedes-Benz,13,13400.0,sedan,105,1.8,Petrol,E-Class
Volkswagen,18,3700.0,sedan,195,1.9,Diesel,Passat B5
Volkswagen,7,9850.0,van,126,2.0,Diesel,Caddy
Audi,15,3700.0,hatch,420,2.0,Diesel,A3
Toyota,16,15700.0,crossover,195,4.0,Gas,Land Cruiser Prado
Mercedes-Benz,7,24500.0,sedan,180,2.2,Diesel,E-Class
Mitsubishi,12,7500.0,sedan,195,1.6,Gas,Lancer
Volkswagen,17,11990.0,van,231,2.5,Diesel,Caravelle
Volkswagen,5,13708.5,hatch,51,1.4,Petrol,Polo
BMW,20,8200.0,sedan,287,2.5,Gas,525
